State,Opponent,Score,Season
T,NE,2:2,2021
L,@ATL,3:1,2021
L,@RBNY,2:0,2021
L,PHI,0:2,2021
L,@DC,1:0,2021
W,MIA,1:0,2021
L,MTL,0:1,2021
L,@CLB,2:0,2021
L,CIN,0:1,2021
T,PHI,3:3,2021
W,ATL,3:0,2021
W,ORL,3:1,2021
L,@NSH,5:1,2021
T,DC,2:2,2021
L,TOR,1:2,2021
T,@PHI,1:1,2021
T,NYC,0:0,2021
W,RBNY,2:1,2021
W,CLB,1:0,2021
L,@MIA,3:2,2021
L,@ORL,1:0,2021
W,@RBNY,0:1,2021
L,@SKC,2:0,2021
L,@DC,3:0,2021
L,@MTL,2:0,2021
T,NSH,0:0,2021
W,NYC,2:0,2021
L,@TOR,3:1,2021
T,@NE,2:2,2021
W,@CIN,3:4,2021
W,RSL,1:0,2021
L,@NYC,1:0,2021
L,NE,2:3,2021
L,@CLB,2:0,2021
T,@MIA,0:0,2022
T,ORL,0:0,2022
W,@DC,0:2,2022
W,SKC,3:1,2022
T,DAL,0:0,2022
